id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
10026821,Keldeo ex #167,Pokemon White Flare,4788,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031677,Klink #139,Pokemon Black Bolt,522,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031742,Excadrill ex #160,Pokemon Black Bolt,188,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031694,Axew #145,Pokemon Black Bolt,1200,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10047340,Tepig [Poster Holo] #11,Pokemon White Flare,207,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
12368454,Booster Bundle,Pokemon Perfect Order,4203,Ungraded,Normal wear,,,0,1,2026-04-03,2026-04-03,PSA,,
10031612,Cryogonal #111,Pokemon Black Bolt,526,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10026747,Woobat #119,Pokemon White Flare,799,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031729,Serperior ex #156,Pokemon Black Bolt,145,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031619,Eelektross #115,Pokemon Black Bolt,1607,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031727,Maractus #93,Pokemon Black Bolt,388,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
2336161,Cramorant V #198,Pokemon Sword & Shield,200,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
11197499,Oricorio EX #24,Pokemon Promo,1156,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
9432890,Yanma #183,Pokemon Destined Rivals,427,Ungraded,Normal wear,,,0,1,2026-03-22,,,,
10026736,Vanillish #112,Pokemon White Flare,781,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026715,Dewott #106,Pokemon White Flare,1270,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10026709,Swadloon #88,Pokemon White Flare,659,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031733,Kyurem ex #157,Pokemon Black Bolt,150,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031703,Snivy #87,Pokemon Black Bolt,1887,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031633,Golurk #123,Pokemon Black Bolt,729,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
8244579,Eri #136,Pokemon Prismatic Evolutions,183,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031610,Cubchoo #109,Pokemon Black Bolt,1257,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
11196718,Charcadet #22,Pokemon Promo,375,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800215,Megaton Blower #182,Pokemon Surging Sparks,92,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
6495614,Maximum Belt #154,Pokemon Temporal Forces,146,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800242,Skarmory #209,Pokemon Surging Sparks,737,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026710,Chandelure #103,Pokemon White Flare,4300,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
9432900,Misty's Psyduck #193,Pokemon Destined Rivals,5500,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031707,Servine #88,Pokemon Black Bolt,1200,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031697,Fraxure #146,Pokemon Black Bolt,1790,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
8871333,Ruffian #181,Pokemon Journey Together,172,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026753,Cofagrigus #123,Pokemon White Flare,1654,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10616251,Gumshoos #153,Pokemon Mega Evolution,351,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800268,Surfer #235,Pokemon Surging Sparks,199,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
8244586,Tyme #143,Pokemon Prismatic Evolutions,108,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10031566,Panpour #101,Pokemon Black Bolt,825,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10669959,Buddy-Buddy Poffin #167,Pokemon Mega Evolution,501,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
7800209,Energy Search Pro #176,Pokemon Surging Sparks,145,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
10026778,Zorua #142,Pokemon White Flare,1925,Ungraded,Normal wear,,,0,1,2026-01-29,,,,White Flare
10031758,Genesect ex #169,Pokemon Black Bolt,4100,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
10031689,Bisharp #143,Pokemon Black Bolt,730,Ungraded,Normal wear,,,0,1,2026-01-29,,,,Black Bolt
4080760,Hisuian Arcanine #TG08,Pokemon Lost Origin,422,Ungraded,Normal wear,,,0,1,2026-01-29,,,,
